ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,221.65,1815.87,8.19,223.52,1630.11,7.29
2048,167.55,1329.92,7.94,173.37,1406.47,8.11
4096,166.94,1238.89,7.42,173.39,1321.33,7.62
8192,207.57,1018.89,4.91,225.8,1846.37,8.18
16384,196.76,1177.6,5.99,176.98,1304.04,7.37
32768,184.99,1019.73,5.51,225.72,1789.05,7.93
65536,221.67,1308.63,5.9,225.78,1798.61,7.97
131072,221.25,1309.65,5.92,225.82,1804.19,7.99
262144,219.07,1298.93,5.93,224.63,1655.95,7.37
,,,,,,
,,,,,,
,,,,,,
ArrSize,MULT,MULT SUM,,,,
1024,8.19,7.29,,,,
2048,7.94,8.11,,,,
4096,7.42,7.62,,,,
8192,4.91,8.18,,,,
16384,5.99,7.37,,,,
32768,5.51,7.93,,,,
65536,5.9,7.97,,,,
131072,5.92,7.99,,,,
262144,5.93,7.37,,,,
