flip3

ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,167.57,1412.35,8.43,172.13,1508.25,8.76
2048,222.06,1875.50,8.45,224.39,1866.74,8.32
4096,221.57,1751.86,7.91,225.29,1878.70,8.34
8192,221.62,1808.41,8.16,225.81,1845.01,8.17
16384,120.95,968.71,8.01,123.28,1012.56,8.21
32768,221.38,1440.30,6.51,225.87,1815.50,8.04
65536,120.90,777.14,6.43,123.21,999.93,8.12
131072,120.20,783.78,6.52,122.68,1003.28,8.18
262144,217.68,775.33,3.56,122.51,993.61,8.11
524288,119.61,1392.77,11.64,230.59,1861.63,8.07
1048576,217.18,918.65,4.23,222.99,1735.35,7.78
2097152,215.11,509.09,2.37,221.13,1171.28,5.30
4194304,210.81,775.19,3.68,228.51,1309.21,5.73
8388608,216.49,733.46,3.39,225.06,909.68,4.04


ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,166.29,1385.65,8.33,171.46,1470.92,8.58
2048,222.67,1877.10,8.43,234.46,1956.43,8.34
4096,221.88,1780.95,8.03,225.22,1884.74,8.37
8192,157.79,1190.03,7.54,164.64,1008.90,6.13
16384,162.45,1179.61,7.26,168.31,1276.04,7.58
32768,120.87,833.85,6.90,123.22,1001.48,8.13
65536,120.74,785.37,6.50,123.21,1000.10,8.12
131072,220.85,1360.90,6.16,225.80,1809.99,8.02
262144,219.80,776.71,3.53,122.64,998.29,8.14
524288,116.66,810.25,6.95,129.39,1853.45,14.32
1048576,218.50,613.32,2.81,228.42,1650.03,7.22
2097152,215.64,558.35,2.59,221.87,1021.88,4.61
4194304,214.30,489.89,2.29,220.57,1112.60,5.04
8388608,214.10,771.86,3.61,219.86,1111.55,5.06


ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,221.41,1815.87,8.20,223.30,1805.44,8.09
2048,166.78,1307.77,7.84,169.16,1394.88,8.25
4096,221.50,1780.59,8.04,225.26,1887.57,8.38
8192,221.52,1765.93,7.97,225.86,1845.21,8.17
16384,221.51,1730.83,7.81,225.79,1817.37,8.05
32768,220.80,1452.37,6.58,225.83,1817.33,8.05
65536,221.39,1327.31,6.00,225.77,1808.17,8.01
131072,221.07,1328.88,6.01,225.70,1803.70,7.99
262144,220.14,1317.12,5.98,225.02,998.80,4.44
524288,219.44,763.82,3.48,122.39,981.34,8.02
1048576,216.74,697.45,3.22,224.43,1690.33,7.53
2097152,214.77,483.63,2.25,217.90,959.75,4.40
4194304,209.90,480.26,2.29,219.56,943.17,4.30
8388608,214.85,780.24,3.63,224.18,1145.01,5.11


ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,120.87,990.55,8.20,121.89,976.04,8.01
2048,121.16,1022.56,8.44,122.32,1018.07,8.32
4096,167.82,1209.75,7.21,169.28,1296.98,7.66
8192,221.90,1773.76,7.99,225.81,1843.85,8.17
16384,221.83,1724.98,7.78,225.93,1848.99,8.18
32768,221.77,1408.42,6.35,225.77,1788.14,7.92
65536,221.72,1325.51,5.98,225.78,1808.64,8.01
131072,119.90,783.76,6.54,121.73,998.72,8.20
262144,220.16,1367.94,6.21,122.48,998.02,8.15
524288,120.29,772.59,6.42,230.51,1852.39,8.04
1048576,217.02,938.92,4.33,223.31,908.16,4.07
2097152,214.71,479.83,2.23,221.96,968.44,4.36
4194304,213.63,578.84,2.71,220.83,1148.27,5.20
8388608,220.94,472.45,2.14,218.43,1044.45,4.78


ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,221.65,1818.88,8.21,223.55,1793.66,8.02
2048,221.93,1872.31,8.44,224.49,1865.95,8.31
4096,222.16,1784.92,8.03,225.00,1885.95,8.38
8192,221.75,1797.69,8.11,225.81,1852.20,8.20
16384,221.81,1764.34,7.95,225.87,1854.64,8.21
32768,221.23,1438.77,6.50,225.76,1808.97,8.01
65536,221.15,1366.20,6.18,225.73,1808.08,8.01
131072,221.13,1389.68,6.28,225.80,1804.11,7.99
262144,219.73,1351.74,6.15,224.92,1804.66,8.02
524288,214.03,1275.37,5.96,222.26,1519.46,6.84
1048576,207.11,372.98,1.80,221.40,1593.38,7.20
2097152,209.30,454.60,2.17,218.66,1113.90,5.09
4194304,213.80,408.17,1.91,218.00,867.94,3.98
8388608,214.59,751.66,3.50,224.59,779.28,3.47


rabbit

ArrSize,NON-SIMD Mul,SIMD,MULT,NON-SIMD Mul Sum,SIMD Mul Sum,MULT SUM
1024,134.51,705.72,5.25,142.94,700.33,4.90
2048,145.75,779.24,5.35,154.62,777.04,5.03
4096,144.49,743.67,5.15,154.99,787.05,5.08
8192,134.04,726.71,5.42,143.95,785.93,5.46
16384,133.25,783.13,5.88,166.16,844.64,5.08
32768,143.99,835.26,5.80,188.32,958.86,5.09
65536,174.64,941.26,5.39,221.54,1185.14,5.35
131072,204.90,1153.36,5.63,354.46,1805.85,5.09
262144,328.60,1669.78,5.08,354.50,1790.08,5.05
524288,327.88,1671.20,5.10,354.07,1797.06,5.08
1048576,327.49,1673.70,5.11,353.94,1786.39,5.05
2097152,320.79,1146.74,3.57,353.74,1780.43,5.03
4194304,317.26,955.55,3.01,349.00,1659.95,4.76
8388608,317.32,958.09,3.02,347.91,1664.88,4.79
