NMB,LOCAL_SIZE,GigaMultsPerSecond,NUM_WORK_GROUPS
1024,8,0.014,128
1024,16,0.014,64
1024,32,0.009,32
1024,128,0.012,8
1024,256,0.017,4
1024,512,0.012,2
4096,8,0.064,512
4096,16,0.070,256
4096,32,0.061,128
4096,128,0.086,32
4096,256,0.083,16
4096,512,0.065,8
16384,8,0.281,2048
16384,16,0.371,1024
16384,32,0.260,512
16384,128,0.192,128
16384,256,0.225,64
16384,512,0.257,32
65536,8,0.721,8192
65536,16,0.800,4096
65536,32,0.832,2048
65536,128,0.940,512
65536,256,0.739,256
65536,512,1.087,128
262144,8,1.683,32768
262144,16,2.487,16384
262144,32,2.782,8192
262144,128,3.214,2048
262144,256,2.819,1024
262144,512,1.810,512
1048576,8,2.568,131072
1048576,16,4.289,65536
1048576,32,5.710,32768
1048576,128,8.665,8192
1048576,256,7.055,4096
1048576,512,8.284,2048
2097152,8,2.615,262144
2097152,16,4.655,131072
2097152,32,8.025,65536
2097152,128,10.364,16384
2097152,256,10.916,8192
2097152,512,9.861,4096
4194304,8,2.833,524288
4194304,16,5.334,262144
4194304,32,8.892,131072
4194304,128,13.922,32768
4194304,256,13.594,16384
4194304,512,13.933,8192
8388608,8,2.852,1048576
8388608,16,5.550,524288
8388608,32,9.840,262144
8388608,128,15.324,65536
8388608,256,15.135,32768
8388608,512,13.819,16384
