NMB,LOCAL_SIZE,GigaMultsPerSecond,NUM_WORK_GROUPS
1024,32,0.012,32
1024,128,0.005,8
1024,256,0.003,4
4096,32,0.030,128
4096,128,0.015,32
4096,256,0.006,16
16384,32,0.071,512
16384,128,0.024,128
16384,256,0.011,64
65536,32,0.098,2048
65536,128,0.021,512
65536,256,0.012,256
262144,32,0.105,8192
262144,128,0.026,2048
262144,256,0.013,1024
1048576,32,0.108,32768
1048576,128,0.027,8192
1048576,256,0.013,4096
2097152,32,0.108,65536
2097152,128,0.027,16384
2097152,256,0.014,8192
4194304,32,0.120,131072
4194304,128,0.030,32768
4194304,256,0.016,16384
8388608,32,0.129,262144
8388608,128,0.032,65536
8388608,256,0.016,32768
